	text	target
980802	@MikeOrmond Wooo - finally confirmation that it's a setup and not a VHD.  Have my Win RC x64 VM ready and waiting 	4
1420077	@officialTila Cool  And you should get facebook too ) If you don't have xDD haha xD	4
855716	@alvinlzg - how true. Eh? How come change twitter display name? 	4
1203957	i love this show  its simply amazing	4
1379936	@atrain2324 i forgot to tell you what i'm doing this summer... babysitting! 	4
1202481	@chanelleannexox muwire is a lot safer, but doesnt download videos and other stuff. just music. hope it helped 	4
941673	its always a good  morning when i get to wake up next to Ryan 	4
1307388	@momtojake Melissa, glad U finally got your mail today.  Slow country to country, apparently.  You rock!! 	4
1174464	@EarthFire Morning sis 	4
1254531	She lets her inner self seize the moment. Her heart is something u cherish. When she's truly beautiful, she knows it without words! Glory 	4
1317233	Daniel tosh is funny as fuck, gah now i cant wait for his comedy central show 	4
1571228	@longwalks omg prague and berlin are awesome places! wish i could go 	4
1039337	Went swimming with lots of people  now I'm going to bed!	4
1127448	@StoneZoneShow woot woot, that's 9 my time, can't wait 	4
884196	ICECOLD SHOWER..was good for me 	4
1173525	I am NOT of this world 	4
1060113	@Janetdawson2009 - You're a Rawkstar!!!  Howz the start of the weekend for ya? What's your big plans?	4
1269864	@missandrealewis oh yes, thank you! pixar never seems to disapoint 	4
864916	@BIGBOOTYBRE dont even waste your time following @powerDBO lol tell him to put a pic up and then make your decision 	4
1427863	@theaardvark  - thanks for the invite!	4
1242758	@iloveth OMG, I vaguely remember the name 	4
1150886	is writing, while drinking tea... tea makes any gloomy, no good, super rotten day feel a little bit better. 	4
1555823	@BlatzLiquor Hahaha....so true. So what is it now? I've been slapped, spanked &amp; choked. I'm kinkier than I thought! 	4
1312968	OK! me ire a dormir! haha see u tomorrow twitter! 	4
1499147	things i need to do: create a logo for my site and then reduce that image to make a favicon! 	4
1407137	@Tunnelman q wanted to make sure you were in your room 	4
1432390	@TheWineVault I should point out that Ms Danno drives a station wagon (sorry - 'sports' wagon) 	4
1017821	@kyle270 haha baby, i am talking to you too  er no thanks, i'm having dippy egg later me thinks ;) haha love you x	4
1582474	@NeilHumphreys i own a Mac and it's very easy to use, great interface, awesome for design/graphic work, extremely reliable  never got BSOD	4
1425590	@NileyBulgaria yeah,he's cute,but not as cute as Nick J lol  i can't wait for that movie 	4
962220	@theBrandiCyrus hii 	4
870703	Looks like it's going to rain.  I hope the weather gets better. 	4
1194387	i luv Pacific Standard Time!!!! 	4
922628	Stephen is taking his mommy and me for tea  for #mothersday	4
957635	Thinking of Stevie Wonder-I just called to say I love you. 	4
1090088	Breaking off the garage! We are rebuilding our house 	4
865737	@_rmb_ haha yeah i am.  oh great! oh oh! one more favor. can u like sorta (haha) take a video of him saying Hi to me? if it's ok. 	4
916898	@fashion_retweet I do my best - that's why running skirts are on the scene as well 	4
1297197	@DonnieWahlberg Hi from Phoenix. I'm at work right now. busy. See u July 12. 	4
1246228	@mwhen awwie..thanks sweetie 0 I look like that when I read sweet messages people like u send me 	4
1095093	IM STILL SLIGHTLY DRUNK/HIGH 	4
1546658	@billy_burke   Now that's worrying!     There were thunderstorms in the UK today, how about where you are?	4
1081871	@yaelyraz no more game7 for the nuggets yael.. too bad... tsk.tsk. Go Lakers!hehe. 	4
1424019	I love you Jamialinakins! i know you do, he's so sweet! 	4
942935	watching the heroes finale 	4
1547788	@miss_maartje who wrote a hard back book......... 	4
982112	@aditya oh, hmm... didn't pay attenshun  thanks @swarooph yes, that too 	4
1066726	@josianna Not so sure he'll love the idea of having his bits chopped off to start with lol. Dads said we might get 1or2 more baby bunnies 	4
1564024	Let's celebrate with lobster  yum	4
1423976	My own Twitters just hatched in my back yard   http://twitpic.com/6p5hv	4
1535101	Yesterday it was a month until light water valley.fuck thats ages away. light water valley- highlight of the school year 	4
1098020	mornin. vacay goin great. up doin laundry while my wife sleep. 	4
1445438	Pad Thai noodles...mmm...good 	4
1458914	i am so proud of myself. haha. ako ang stage manager center sa event last friday. 	4
1243542	@DinoGoesRawr mhmm  ooh i have to show you this really awesome webcam site xD	4
1552374	@shakeitANA; the movie?! WITH LANCE FROM NSYNC?! haha 	4
806151	@whitsundays enjoy the crowd 	4
1387688	Happppy bday to me!!!! Baby was first to say it first of course, and @wheresmars I TOLD U I KNEW!! and what plans?? Yayyy me  Im 20	4
1231702	i'm dedicating my 15,000th tweet to &lt;3  oh yeah, romantic huh?	4
1040907	@ddlovato ! eeeeeeep! excited!  will you pretty please play new stuff at Wembley?	4
1094260	me voy twitters  bye bye ;-)	4
858070	band-aid bonding on may! can`t wait!! 	4
999628	@eatlikeagirl a cup of tea suggested  This is what i do in similar situation, don't know if its tea or my belief!	4
1423375	did a cross county bike ride today. LOUDOUN - Fairfax 	4
865946	carn the blues!! 	4
1550776	@ChristinaCorbin I so hear you on the Oreo thing. Beer is liquid too 	4
1198675	@taylorswift13 I'm loving the Dateline special. You're amazing &amp; such a great role model. I love you&lt;33 	4
1458927	Only just made it before 3pm Friday! Have you McValue Lunch-ed this week?  http://u.nu/7dk9 #fb	4
881639	@HINFeiLong just replied, thanks for the photos 	4
1488341	@JudithLewis doesn't affect my kids, only my grandchildren. I'm sure they won't mind. 	4
1405197	Sorry for not tweeting a lot yesterday, was only semi consious for pretty much whole day. Got good 12 hrs sleep so all good today. 	4
1451452	haha just what i needed. what a  great way to end the weekend 	4
1025128	@TravelEditor Good news for my business - bad news if you get caught planning the trip  #travel	4
1170156	@nakimiso next time daw ulit. overnight swimming. 	4
1328100	cinnamon toast cruch just rocked my socks off. what a good cereal 	4
1444758	@CaseyBBABH I'm glad to see your twitter is alive, Casey  haha	4
1597193	@nizm loving the new launch!  Can't wait to see what people are posting - though I will strive to maintain my top editor status. 	4
1556246	Just went over the budget with Mom. Looks like literally no spending until August 7th. It'll be worth it though. 	4
1584205	i changed my twitter name from bthequeen hahahaaa, sweeeet 	4
1361956	@breanna21 escape to witch mountain same actress as bridge to terabitha! 	4
1018853	@organicsue How are you this morning?  ? http://blip.fm/~6t794	4
985772	@timjlittle  @ourman They do in fact transcend borders. (and I could do this all day! 	4
1582274	@devadutta At least they got the UI right  Lets hope their indexing improves ..	4
971577	shopping for Pop's Art supplies at dickblick.com with help of Norman 	4
1038041	is back from lunch and bought hello panda  http://plurk.com/p/wx6es	4
1401441	@TwilightWolf I have mine on a monitor. Super duper nice videos ftw 	4
1557585	I'm writting a new novel!!! I'm so happy 4 that! I hope to publish soon! 	4
973011	NBC is bringing back &quot;Chuck&quot; for a 3rd season.  I know a few people who'll be pleased  - http://bit.ly/n4zuy (via @mashable)	4
1043042	@karinb_za then I can send you a copy 	4
1234790	Freebie: Head to On The Border restaurants for a buy one get one free deal! http://short.to/1cp2 Follow me for your Twitter freebies! 	4
885414	@EverywhereTrip - so then it's officially New Yawk, Missoura, Kaybec, and just Vegas now? 	4
891717	@Brandon_E ha! that reminds me...i meant to leave comment on your bible note on fb 	4
899773	@alex947 You are always welcome, Alex. 	4
1353548	@ddublover yes I sure do 	4
1222647	Just got up in New York Getting ready to shop 	4
1461877	off to church. taking the kids to Golden Corrall this morning. There goes what $ I had haha 	4
931410	doing shots of whiskey with the bf haha going to be an interesting night 	4
1290560	There are three Adrians in a row on our street.  quite an amusing coincidence	4
1247782	just read @paullia twitter  ur soo funny girl !	4
1454458	@TPSFriends Thank you for my order! I received it yesterday  What was the deliciouss smell from the sample that you gave me?	4
1053129	GRRRRRR couldn't sleep last  TiMe to BaKe 	4
931639	@LadyPunk77 Yay that's the way to go, retail therapy cures everything 	4
1344292	@dizzyfeet what did natalie lack that she got cut, i found her amazing! but i love the show and all you guys do! keep it up 	4
1282834	Oh, boy. I'm completely addicted to online TCGs! Whyyy.  As if I need another thing to obsess over! 	4
1527841	I love this NextWindow touch overlay for any screen! I need a 42&quot; plasma as a monitor now i am thinking  http://tinyurl.com/lguhr5	4
1169026	@caramelapples Muhaha! Me too  Food &lt;3	4
979469	there) and also Need for Speed: Shift, probably. 	4
1394897	Good Morning @Bcarter @barefoot_exec @BodyWisdomInc @CoachCharrise @jaguarjulie Gr8 to see you! We are awake early 	4
1100254	I Know Were Lame But Theyre So Funny ... So Trust in Bradie &amp; Ull Be Loling 	4
1293390	Tomorrow morning men come to the weekly prayer meeting, @ Hillsong Chapel Hills  it just getting better everytime we get together!	4
1577535	@ameera_bh u know why? bcoz now u have followers that care  and u care about the followers!	4
1128436	@luchoster Thanks! Antigua is oddly hot, but  lovely all the same.  Where's  the lluvia??? 	4
1539179	@mories23 haha I was going to say well only good thing was that u stayed there but not now 	4
1395199	Spent the whole day playing video games. GTA China town wars, rhythm heaven, bioshock &amp; gran turismo 5 prologue. Ahh the life 	4
1363829	margaritas withh bridgett 	4
1565966	Is spending quality time with the favorite (that is, Patrick). Go-onger ftw! 	4
1438153	@MsStaceyK LOL I had to drink it or my mother would have wasted it or given it away so I drank it.  I just like it ice cold really 	4
828723	Playing The Sims.  It's fun, fun, fun on a bunbunbun.	4
1345352	wow, even though it's summer, i'm still happy it's friday... i wonder why lol 	4
1213560	@PrincessSuperC I know your gonna kill it on the tour C, it's gonna be AMAZING, I can't wait!!! 	4
1520237	@twistedhalo04 Yes! Think that way~ Positive thinking will get you to places. 	4
1096819	I woke up before my alarm... at 5:45am. Weird. Off to swim and then teach until noon! 	4
1548252	Installing windows xp en virtualbox,  http://bit.ly/z6hho	4
828488	@iamdiddy im most definitely LOCKED in 	4
1109740	@tiffication Almost like my home. Nothing to eat. Shoot today and tmr is for Red Bull. Trying out to become one of their photographers. 	4
1000358	@DrZackAddy Just pull the blanket over your head and the laptop and you'll be alright 	4
1182199	Sunday breakie  Speaking of breakie, I had the weirdest dream of Australia last night...	4
941163	@melvolner Hi Mel!  I'll text you when we're getting close to Miami...our ETA is 5...what are you wearing?? I have a pink dress 	4
1554974	I ordered the new iPhone today 	4
997095	@foominoo surprised it didn't ask if you Meant an African or a european swallow  XA	4
915651	@Lukevdp Actually people were more decisive than that. 	4
1058405	nervous about the big chunk of skin im gunna get taken outta my lip...hahaha 	4
808512	@50percenthuman  not unless you own one 	4
875071	i really think that I need more followers..  follow meeee 	4
1526035	Made a mistake in #militarymon @CGCommandant &lt;&lt;&lt;Follow him for sure, the Big Kahuna #USCG -All due respect Sir 	4
1010821	@Vixy_Lix engineer is coming in the morning, luckily I will be at my parents by then, with their power shower 	4
1189241	thanks  i'm just glad all that hard work paid off	4
967731	This is not a politic issue, NO QUE VA ! 	4
1303114	@Zombie_Claire you can use  the picture of my bottom on my twitpics. you have my permission 	4
853846	@DavidMBowers aha caught you out, you must be in uk and have lost my number again!!! unless you've pulled an all nighter in LA. 	4
1046026	#thingsmummysaid I LOVE YOU. 	4
978394	Help to raise the profile of ColaLife on our Birthday with a very simple action - http://tinyurl.com/pgex5c 	4
1124813	Going to do hot yoga tomorrow!!! 	4
855127	@gfalcone601 Morning! Yes luckily it is 	4
875704	@Alluminare Everything comes in cycles sweetie  Hopefully weather will stay same and Twitter will again get hot 	4
838064	@kittykat1994 hello love! so i guess you figured out what twitter was lol. 	4
1059493	Nothin like some NE to lift my spirits!!! &quot;If it isn't love, why do I feel this way!&quot; LOL *DANCIN* God is great...I'm clumpsy! 	4
1279478	weightless - all time low.. love it 	4
1018370	@falserodhull http://twitpic.com/5orxt - Aha! I recognise where that's taken from. 	4
1504788	@urbanmacnz - &quot;wat is the mission trip about?&quot; Contact Julie @JulieBMack She is the person goin on the mission trip. 	4
1021142	My head has cleared up thank god. Off to get a shower and get dressed. At 3pm 	4
1105879	is loving the weather!  	4
976534	is now uploading vids on mulitply.  http://plurk.com/p/uhqgx	4
1037040	@missrheajo its such a good show! I watch it every night before I fall asleep 	4
1536840	still have the cold. hwever busy week ahead and cant dwell on the bad things 	4
1177116	Listenin 2 Boys like Girls- The Great Escape...totally awsomm 	4
1452355	@EMMAKATE76 good morning girlie i just woke up buit still too early cause i went to bed at 4am i wanna go back and dream of Jon 	4
1324331	Task done! Back on the line! Now, going to enjoy a kibbelingetje with Tycho 	4
1588724	Geography is pure laughs!  x	4
