	text	target
800000	I LOVE @Health4UandPets u guys r the best!! 	4
800001	im meeting up with one of my besties tonight! Cant wait!!  - GIRL TALK!!	4
800002	@DaRealSunisaKim Thanks for the Twitter add, Sunisa! I got to meet you once at a HIN show here in the DC area and you were a sweetheart. 	4
800003	Being sick can be really cheap when it hurts too much to eat real food  Plus, your friends make you soup	4
800004	@LovesBrooklyn2 he has that effect on everyone 	4
800005	@ProductOfFear You can tell him that I just burst out laughing really loud because of that  Thanks for making me come out of my sulk!	4
800006	@r_keith_hill Thans for your response. Ihad already find this answer 	4
800007	@KeepinUpWKris I am so jealous, hope you had a great time in vegas! how did you like the ACM's?! LOVE YOUR SHOW!! 	4
800008	@tommcfly ah, congrats mr fletcher for finally joining twitter 	4
800009	@e4VoIP I RESPONDED  Stupid cat is helping me type. Forgive errors 	4
800010	crazy day of school. there for 10 hours straiiight. about to watch the hills. @spencerpratt told me too! ha. happy birthday JB! 	4
800011	@naughtyhaughty HOW DID I FORGET ABOUT TWO AND A HALF MEN?!?!? I LOVE THAT SHOW!!! 	4
800012	@nileyjileyluver Haha, don't worry! You'll get the hang of it! 	4
800013	@soundwav2010 At least I won't be the only one feeling lost! This may cause me many later than usual nights, already addicting 	4
800014	@LutheranLucciol Make sure you DM me if you post a link to that video! &lt;LOL&gt;So I don't miss it   Better get permission and blessing first?	4
800015	Just added tweetie to my new iPhone 	4
800016	@michellardi i really don't know. i think its Globe!  yeah! sana gumaling na ko para alam ko na din kung makakasama ako! )	4
800017	@nicolerichie: your picture is very sweet 	4
800018	Catching Up on Emails, RSS and Random BACN. Then I'm cutting out early tonight (11:30PM) to have Dinner with @lauraw 	4
800019	Dancing around the room in Pjs, jamming to my ipod. Getting dizzy. Well twitter, you asked! 	4
800020	Didn't place in the Peeps contest but thanks for voting anyways. 	4
800021	Going to bed so goodnight everyone  and sweet dreams  http://twitpic.com/2y2e0	4
800022	@LittleLumen walking over to put the deposit down tomorrow 	4
800023	is now followinq @DAChesterFrench , you shud do tha same 	4
800024	@LordPov Are you meant to add on the back of that &quot;twittering from a toilet cubicle somewhere&quot;? 	4
800025	Aw i'm holding my new puppy. Well He's not mine but He's a cutie. 	4
800026	@iJohn kitteh is sleepin on my crotch which proves she likes me more 	4
800027	@DramaBeats agreed 	4
800028	reaching amritsar in an hour and (if i find a bus) should be at wagah border by 2pm  - http://bkite.com/06fuJ	4
800029	@ALBinLA.  I was just thinking about you tonight!  You have to let me be the first to interview you're a famous super star 	4
800030	happy to spend time with the family. 	4
800031	finally going to bed!  so tired. Was gonna watch The Hills but didnt =/	4
800032	so effing tired of my throat hurting.... ooooohh... i just got a crazy craving for a pina colada/banana slushie!!!! 	4
800033	@deon upload di indowebster dong banggggg 	4
800034	@wisdomous you're welcome. glad you enjoyed it. 	4
800035	@hawaii808shellz hAhAHA!! omG! we wer bOth laughiN off d hOOk!  cuz das hOW we roLLL...ryt sheLdawg?	4
800036	@SickWithThePen awww pookie feel better. I'll pray for you...and BAG the nurse up 	4
800037	YAY! found a new cuddle buddy 	4
800038	I think I met my first &quot;snob&quot; on twitter tonight. Too bad. Life goes on! 	4
800039	Across the Universe. Sleep. Rehearsal tomorrow. 	4
800040	@annabellee dry sweet potato, huh? 	4
800041	@JonathanRKnight Hi Jon! Great to hear from you! See you on the cruise, I cannot wait! Hope all is well on the Knight bus!  You are loved!	4
800042	having a long conversation with mom on phone 	4
800043	@suitelifeofkell yayyy! lol. i just requested herrr. what did she say? 	4
800044	Practicing lines/mannerisms/voices for upcoming feature shoot.  Probably driving Brock crazy.  	4
800045	Going to go and read new moon for the 3rd time  I cant get enough of twilight series 	4
800046	today is our two month anniversary!!! i love you sooooooo much Diana. omg you dont even know  TAR HEELS WON THE NCAA WOOT!!!!!	4
800047	I am bored 	4
800048	@stevecla it is a wallpaper with Red Square I was asking for 	4
800049	@r_keith_hill Thanks for your response. Ihad already find this answer 	4
800050	@Pope_Mello Well yeah! I only noticed cuz i'm BB too. 	4
800051	Just tryna get inspired thats all 	4
800052	@KourtneyKardash Can't get up early enough!!!  Night workouts are much better. 	4
800053	@ladygaga Can't wait to see ur hot ass in Austin! woot woot!!! annnd love the bob with purple, i went the royal color way as well 	4
800054	@QuotableBuffy I got a bunch of Buffy songs too! One of my faves is &quot;Vivian&quot; by Nerf Herder, when Faith met Spike in Buffy's body. 	4
800055	#Devunity Wallpaper  Check this out !   --&gt;    http://twitpic.com/2y2e2	4
800056	Morning Tweetland, a long day ahead! Hope everyone has a great day  	4
800057	   uploading pictures on friendster 	4
800058	@ash_CT Aw dont you love that  I love for those days! Thanks about the pic ;-p	4
800059	noodlebox with amanda tonight 	4
800060	@una_avion2010 Sorrry, I'm doing like 29823782 different things. Kevin Jonas' Girlfriend 	4
800061	@fuzeb they are so serious too while singing like.. whoa  hehe lsd maybe? j/k lolol	4
800062	loving life... and loving you 	4
800063	@ApothecaryJeri  I love Sicilians best damn pizza on the planet [says I] 	4
800064	loves chocolate milk  and that is GF YEAH..	4
800065	Going to Sutter Creek tomorrow to tour an old Mine 	4
800066	@bodycoach I'll look into that cho, I personally like strawberry but I'm going to become coach soon 	4
800067	@little__fish guess where i live. the other side of the earth  east mesa, losiento	4
800068	@paula_paige3489 so apart from the sore... how was the tryouts? 	4
800069	failed physics TEST... what a homo. keeen for the holidays (2 days to go) 	4
800070	Just observed the update look of #Alexa website, http://tinyurl.com/c48gzf , looks great, seems Alexa is improving 	4
800071	@leiabox so what can you tell us about it? I'm totally geeking out right now 	4
800072	@theragingocean BonJour Spacecowboy,I wish I was either of it .I work with Kids, can go out whenever I want and go wherever I want to 	4
800073	@Rebecca1158 goodnight. 	4
800074	My brother is sick too lol. Quite weird 	4
800075	@drdrew *gives a hug and a cookie* Hope you feel better! 	4
800076	@jonathanRKnight Hey Jon! It's real and I hope you take care of yourself...we don't want you to get too rundown.  ((Hugs))	4
800077	Just wrote on a toilet wall... but only to correct poor spelling. And in highlighter, so it will wash off. HARDCORE 	4
800078	had a good tech meeting at clubZone - dinner was sushi 	4
800079	@mattgalloway Thanks for the hook up with @CarlyRush and suggesting me again bro! you rock! 	4
800080	@jeffswarens depends on which version they thought you  the one I know doesn't go like that ;)	4
800081	@Speak2Ashley hand is still pretty weak i cant like punch anyone out yet or turn knobs but it doesnt hurt much 	4
800082	@Honey3223 Lurkers now that was interesting 	4
800083	@saravananp mine is B North. Still need to decide 'aaru hithavaru ninage ee moovaroLage' to vote 	4
800084	@trstfndbby um I bought my shit from the Koreans its OACH  highest quality out there baby  I paid an extra 3.50 2 get a real tag sewed in	4
800085	eating ice-cream with chocolate topping 	4
800086	@iamdiddy your telling me.. just finished doing 200 crunches!  step it up Diddy ! LETS GO!	4
800087	@its_yvonne daaang i didn't know it was possible to talk that long! what'd you guys talk about 	4
800088	@LaurUy West.  Mostly San Jose and San Francisco.	4
800089	Nikki is off working her ass off on a bike, trying to recover from her knee injury.  (Good for her. 	4
800090	@marymayblood I would love to come help unpack   Let me know where I need to be Sat afternoon!	4
800091	shenagians!  my team is awesome&lt;3	4
800092	listening to some music and just chilling....I'll probably regret not getting work done...but till then i'm just gonna kick back 	4
800093	I am doing a study of Think &amp; Grow Rich - Wow - it's amazing how timeless the law of attraction is! So now we're on our 6 step program! 	4
800094	@BittenbyBooks Oh good!  I'm glad you're feeling better!   I've been really good!  It'll be a crazy week though... In a good way! 	4
800095	21 Days till chris comes home and 67 days till summer 	4
800096	@davidgideon Yeah, those were the days  - no, it's now around 1.47ish...	4
800097	@therealjspace am I the first one to tell you you tweet the most while drinking! LOL. 	4
800098	@its_anne Kay thanks. 	4
800099	Goodnight 	4
800100	I am determined to get back into baseball -- it's been 5 years since I've really watched the sport. Anyone interested in going to a game? 	4
800101	@beycah Good for you Becca, have a good sleep. 	4
800102	@MissNappyBoy and ur home is where? ohhh i nkow lexington ky rite next to me 	4
800103	Just seen the preview for the movie &quot;Obsessed&quot; w/ Beyonce. Wow one crazy broad in that movie &amp; Beyonce seems to go nuts in it too! 	4
800104	Easy Rider till I fall asleep 	4
800105	@miketomalaris I'm very, very, very excited about the live broadcast of Paris-Roubaix. 	4
800106	just had a real good moment. i missssssssss him so much, 	4
800107	@belliestobabies I have two too. I just don't know how people survive winter without jungle gyms at home 	4
800108	@jaredleto Just started to work. But it's the last one before holidayholiday!! 	4
800109	Watchin Greek then off to Knighty Knight!! 	4
800110	i am working on my media room design and i love love love my client profile 	4
800111	@Greeks05 its pretty lame..hahaha but yay i get to stalk your sexy ass on here now 	4
800112	@Lou911 Aww, thanks 	4
800113	Another good day  nitey nite everyone! First day of school tomorrow!!! Ahh I'm kinda nervous yet excited...til tomorrow!	4
800114	thinking and planning 	4
800115	Good enough.. time to go sleep off whatever I can, be happier tomorrow ? here's Hopin.. go check my Fb. for what is in store for me now. 	4
800116	@missvic what do you mean, I do those things now and I'm OLD! 	4
800117	@jimmyeatworld been listening to that all morning  http://www.deezer.com/track/885843	4
800118	@UrbanThai  and you have me to thank for that 	4
800119	@PamFR Thanks Pam... glad you enjoyed it. Yes, life is short, it's *now*. No need to struggle... just make better choices every day. 	4
800120	@JonathanRKnight hmm you have a lot to say tonight! That's great!  Of course, here I am up late reading it. haha	4
800121	@guykawasaki congrats on 100,000 followers. Wow almost 4 times of what I have 	4
800122	@LarryCarroll ARE WE GOING TO BE GETTING ANY NM UPDATES THIS TIME AROUND? I'm not really screaming. Just wondering. Thanks! 	4
800123	@suitelifeofkell that's freakin' cooool   i love twitter .haha	4
800124	@I3renda maybe. there's nothing wrong with being caring. but try not to care too much. 	4
800125	why does Brissa not even know she has a twitter? -Lauren 	4
800126	@jbrotherlove I thought it was a great love story 	4
800127	@enbaldarlingg No, that's just the mirror you're looking in. 	4
800128	@amandahesser thanks!  i couldn't have done it without you  	4
800129	wow that was neat, thanks God! OVERITNOW&lt;3  i apologize for sharing my spiritual moment with the general public of Twitter 	4
800130	... 31 days until I leave for Ontario!! 	4
800131	Just spoke with my fam in #Japan via #Skype! Love to see my little 16-mo-old nephew growing! 	4
800132	@LissyM ahh i only just saw you'd written that where does it tell you that someones spoken to you? this sucks but mcfly got it haha loser 	4
800133	@KaciMaureen holy laundry woman! 	4
800134	@iamdiddy I hate it too, but I just got back from the trainer. Go! 	4
800135	@markhoppus lol youï¿½re so fucking funny 	4
800136	working on setting up my ipod touch, which as of today is officially mine!! 	4
800137	@nikhilnarayanan saw the tvc yesterday.. worked for me 	4
800138	Jon could totally say Mannies and Peddies and I would shut my fat face about it.  	4
800139	@magopus Hahaha! Well if they ever run out of ideas, I'm nominating you to come up with some good ones. 	4
800140	A friend feels like a beer on a Monday night. That's never good. But beer is always good. Always. 	4
800141	@hopeinhell One usually follows the other, no? 	4
800142	@special72 Thanks, Special 72!  	4
800143	Good luck for Lauren and the rest of the cast of TBS, can't wait for something to leak 	4
800144	Shoot For The Moon! Even if you miss, you'll land among the stars. 	4
800145	@JohnHays hmm, that I don't agree with entirely because I am most creative &amp; vibrant @ night for some reason...but I need 2 sleep too 	4
800146	@izzakizza nada just tryna holla holla.   hows the mixtape coming up?	4
800147	@aussie_ali  yep it makes it so much easier to get points across in 140 	4
800148	@snarkattack  The freezer-worthy @amoir has already given it her scholarly attention, but I suppose another set of eyes could hurt not.	4
800149	http://twitpic.com/2y2jf - my cupcakes 	4
800150	@purrplexa And its a wonderful thing!  I'm all in favor of using the entire English language (shit, I use #expletives too, I think) 	4
800151	@mynameisgerard haha! i'm not saying u should try it.. but maybe u should 	4
800152	back from school, long walk! its flippin cold outside  2 days ago it was sunny, next day raining, and today snowing!	4
800153	@sisterpatterson I just ate raw cookie dough out of a tub and now to bed. We must be kindred spirits 	4
800154	@JonathanRKnight : agreed. internet? random. but i like random. watched dirty dancing, great movie, i thought of your song..  nighty night	4
800155	@blooms5887 Just use Tweetdeck and you can update facebook and twitter at the same time 	4
800156	@firestoned - Dude, stars are always awesome.    Surprised to see you tweeting.	4
800157	@nsastrasasmita k. i'll try to figure it out. i'm gonna go to bed. night night  	4
800158	amazing night with llama and malcolm and megan&lt;---fuck the theatre! 	4
800159	@kayotae Just had a martini myself. 	4
800160	city all day soo happy to be home. school in the morning 	4
800161	My spring break= watching moviess all day everyday for a week 	4
800162	@PushPlayNICK &quot;Grandpa wants an ice chest and some beef.&quot;  George Lopez rulesss!	4
800163	@KatiePorrello thank you Katie! heading to the club as we speak! you have yourself a stellar night as well... take it easy homey!! 	4
800164	http://www.youtube.com/watch?v=cLe9pJSRas0 Where have all the flowers gone, Peter Paul &amp; Mary  My fav, def.	4
800165	shhhhhhhhhh....time to watch the Hills. 	4
800166	since posting the 2 new photos on my website with the kids my hit count went up...way, way, way up. love to china for 5,000 views alone. 	4
800167	@JonathanRKnight Oh its real Jon!  We all r so excited that u and the guys came back 4 us.  We appreciate all you put out there!  	4
800168	@LonelyBob Thank you! Am at home pretty much everywhere. Provided I have broadband ...kiddin' 	4
800169	Callin it a night! I always have the best sleep after a good workout!! 	4
800170	@Infinitarchitek Feels pretty good doesn't it? 	4
800171	@stee322 but you did go to hash bash anyway.. 	4
800172	@loltothepower correction, i GOT a badass fringe. 	4
800173	@procoder hmmm, sure sure  so what r u upto ? hows the day for u?	4
800174	@ninasplayground I agree.  My kids got &quot;Who am I&quot; 4 Christmas. It's bn fun but I caught my 4 yrold cheating by looking at reflection in TV	4
800175	My hair is blue. 	4
800176	@wendy_bowser Thank you for the kind words!  I appreciate it.  Have a great night 	4
800177	stressing over this math test...uhhh....2 days till spring break!!!! 	4
800178	@MintCool uh, because we really need each other, plus, you'd be my designated driver on PCH 	4
800179	@EMPRESSYEN WHATCHA CHUCKLIN BOUT MS.YEN 	4
800180	@ijustine the gym is an awesome place! work it out 	4
800181	@augustography hmmm think we need to get you climbing up hills .. you'll be really sining then 	4
800182	Just won 20$ on unc game 	4
800183	Really tired. Going to prepare for bed. G'night! 	4
800184	@keyannaaa the new story of your life will include magic fountain with me 	4
800185	Im getting nervous that this trip tomorrow may be a little boring. Haha oh well, i always have my trusty ipod and my books of course  lol	4
800186	should be going to bed... maybe i'll do that... but i'm thinking I'll put on Anastasia on my laptop as i fall asleep 	4
800187	@ijustine http://twitpic.com/1ff65 - I love ur top 	4
800188	still buzzing from SIETAR... thanks to @pattidigh for pushing the old boundaries - boy, someone could make money off a twitter manual... 	4
800189	@yoshigi I have terrible back and neck aches too... Get a good chair, that will help.  I am waiting for my &quot;SWOPPER&quot; to arrive. 	4
800190	@juneaurock Hellz yeah, definitely downloading. Thanks 	4
800191	http://twitpic.com/2y2jz - we are so stinkin cute 	4
800192	@Lyndeeezy hahah not yet! but soon. very soon 	4
800193	Very happy with my new blog design - nice to see recent post and popular posts listed together, and it looks great! 	4
800194	@michaelgrainger we have much more than that in common my friend!! 	4
800195	@ben_mayer better be. I don't wanna have to come find u and save the dog. But I would!  I'm all 4 the animals . Call off the twit police	4
800196	@klaris nilagyan mo ng knorr seasoning mix ulit ung pancakes mo?! hehehe. teka, heaven and eggs ba to? 	4
800197	@Westneyrhindxx hello westney  what are you doing ?? x	4
800198	@WhereisKevinn well my night seems pretty boring in comparison to the strokes you've experienced tonight 	4
800199	@jephjacques I love the way you draw giraffe eyelashes. 	4
800200	@SwitchItNow ahhh shiner Bock in Austin YES! thanks for the Twitter @reply so I can relive too 	4
800201	@holytshirt Glad to read it! 	4
800202	spent the evening outside in the beautiful warm weather. finally feels like spring 	4
800203	pullin an all nighter wit my bffl madison 	4
800204	@AttractMode Thanks for putting on such a great event. Can't wait for the inevitable sequels! 	4
800205	I don't know why I still find this hilarious after hearing it like 200 times in a row, but I doooo  ? http://blip.fm/~3x8ok	4
800206	@thenub you are too 	4
800207	@jimmycarr that big oaf can play piano? 	4
800208	Bryon is my tea bitch 	4
800209	@mattbraga Oh, they can stay. You on the other hand... 	4
800210	I am gonna help my mom get a twitter 	4
800211	@lavsmohan...... Yup!! saw the entire match....reached office late.. 	4
800212	going to bed. My bb isn't working &amp; I'm bored.  Night all. Love me harder tomorrow, than you did today. Peace, Prayers, &amp; Blessings.	4
800213	@DEEJAY_BOOGIE ya we did trying to beat traffic but ya hope to be back soon 	4
800214	India wins a test series in New Zealand after 41 years! If it wasnt for rain on the final day, India would have won the third test too 	4
800215	@ashvala Was driving in Old madras road on my bike!! There is no concept called parking on the side 	4
800216	@upstatement can I apply to be in your class too? 	4
800217	is reading manga  http://plurk.com/p/mzp1e	4
800218	@BradmanTV Thanks....it seemed the right moment. I love your show.  Your songs bring me joy.	4
800219	@Adri_Mane ROflmao... niqqa please. you ackin' a fool now. 	4
800220	@comeagainjen http://twitpic.com/2y2lx - http://www.youtube.com/watch?v=zoGfqvh2ME8 	4
800221	@vjl also, your website seems to be down, FYI. pity, I wanted to check it out  sure you knew that though.	4
800222	@LindzNicole so let's make it right! 	4
800223	@Lexi_83 We.... went professional in October 2008, we've just not update any of our websites or anything until yesterday 	4
800224	@rhonda_brown thanks for the tip on Sam's Club! 	4
800225	@KourtneyKardash yep Mornings are the Best! nighttime is chill time 	4
800226	@pocketfulofme yay!!! hehe TWINS 	4
800227	@jolilore Thank you 	4
800228	&quot;City of Ember&quot; was AWESOME!!! SO have to finish the book and read the next one (ones?) now.  Time for bed possibly? Who knows, really. XD	4
800229	OMG, I would have died!!! actually no, I take that back...I keep an updated version on my X:drive so it's all good 	4
800230	@trugiaz You and i mate! 	4
800231	 just watched the movie Wanted... it was pretty darn good.	4
800232	just got home from Neil's. watched Nick &amp; Nora's Playlist... pretty funny  	4
800233	@theexclamation ah yes, twitter seems to be the perfect venue for whining and wasting time.  now that's my idea of fun 	4
800234	@donniewahlberg hell yeah! there's the effin man! 	4
800235	@roshnimo Dont be lazy............try a few out.... tools are to make life easy for lazy people 	4
800236	@aiduong Oh goodness, I didn't know you could message friends on here! Hello Ai 	4
800237	Thinks everyone needs to go buy Tina Parol's song Who's Got Your Money on iTunes ... NOW! 	4
800238	can't wait for vegas 	4
800239	@theDebbyRyan Hey Debby 	4
800240	One sixty six in bowling. Holy shit lol 	4
800241	dear dbq, you were a pain in the asssss. i'm glad i'm DONE with you! 	4
800242	and now off to bed after an amazing night chatting with a pretty amazing guy  ( you know who you are)	4
800243	@lhawthorn What a coincidence! I was just stalking your Twitter feed and the GSoC news. ;) I'm doing great, thanks. How about you? 	4
800244	has discovered that she loves easter crafts, eggs, hot cross buns... feel like watching the prince of egypt to aid my easter meditations 	4
800245	Didn't get my nap before, thinking I really need one now. Be back later, twitterpeeps. 	4
800246	Trying to figure out a way to pay it forward 	4
800247	oh oh oh!!! gonna go buy Twilight on DVD today  I have to extend my overdraft for the 2nd time in as many weeks so I may aswell!!	4
800248	my very first twitter  awww	4
800249	@SimonBotes glad you like 	4
800250	@lightblue_82 woo, you won't regret it. 	4
800251	@theaptour thanks so much 	4
